"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2019","55.09","56.70","56.74","54.88","73.93M","-5.01%"
"Mar 14, 2019","57.99","58.49","59.08","57.66","35.52M","0.35%"
"Mar 13, 2019","57.79","56.78","58.40","56.54","34.22M","1.98%"
"Mar 12, 2019","56.67","57.30","57.61","56.21","37.52M","-2.60%"
"Mar 11, 2019","58.18","56.70","58.26","56.10","36.96M","2.39%"
"Mar 08, 2019","56.83","55.38","57.12","55.18","44.10M","2.73%"
"Mar 07, 2019","55.32","55.77","56.94","54.85","47.21M","0.13%"
"Mar 06, 2019","55.25","55.30","56.30","54.88","51.68M","-0.11%"
"Mar 05, 2019","55.31","56.40","56.80","54.02","93.82M","-3.09%"
"Mar 04, 2019","57.07","59.62","59.80","56.56","85.48M","-3.20%"
"Mar 01, 2019","58.96","61.39","61.43","58.38","114.56M","-7.84%"
"Feb 28, 2019","63.98","63.78","64.00","62.16","52.60M","1.63%"
"Feb 27, 2019","62.95","60.36","63.26","60.11","55.92M","5.67%"
"Feb 26, 2019","59.57","58.44","60.40","57.75","42.91M","-0.30%"
"Feb 25, 2019","59.75","59.58","60.58","59.40","33.13M","1.38%"
"Feb 22, 2019","58.94","58.90","59.30","58.42","28.70M","1.19%"
"Feb 21, 2019","58.25","60.36","60.65","58.10","44.55M","-3.74%"
"Feb 20, 2019","60.51","60.88","61.26","59.80","35.71M","-1.01%"
"Feb 19, 2019","61.13","61.31","62.31","61.09","20.84M","-0.73%"
"Feb 15, 2019","61.58","60.90","61.60","60.78","19.52M","1.35%"
"Feb 14, 2019","60.75","60.68","61.35","60.20","26.00M","-1.43%"
"Feb 13, 2019","61.63","62.47","62.55","61.11","25.71M","-1.17%"
"Feb 12, 2019","62.36","63.24","63.64","61.92","27.59M","-0.33%"
"Feb 11, 2019","62.57","62.32","63.72","62.10","35.65M","2.30%"
"Feb 08, 2019","61.16","61.37","61.49","59.70","29.22M","-0.56%"
"Feb 07, 2019","61.50","62.66","62.94","60.60","32.60M","-3.06%"
"Feb 06, 2019","63.44","63.92","64.85","63.12","25.19M","-1.29%"
"Feb 05, 2019","64.27","62.50","64.49","62.45","33.71M","2.70%"
"Feb 04, 2019","62.58","62.60","63.06","60.38","36.76M","0.22%"
"Feb 01, 2019","62.44","61.08","63.22","60.70","36.42M","1.69%"
"Jan 31, 2019","61.40","60.20","62.31","58.80","62.85M","-0.57%"
"Jan 30, 2019","61.75","60.09","61.80","59.70","56.25M","3.80%"
"Jan 29, 2019","59.49","59.05","59.71","58.36","23.11M","0.36%"
"Jan 28, 2019","59.28","58.58","59.49","57.55","32.12M","-0.22%"
"Jan 25, 2019","59.41","58.88","59.70","57.91","36.29M","1.90%"
"Jan 24, 2019","58.30","56.61","58.74","55.86","40.06M","1.36%"
"Jan 23, 2019","57.52","58.50","58.90","56.34","62.65M","-3.79%"
"Jan 22, 2019","59.78","60.96","61.60","59.10","60.33M","-1.11%"
"Jan 18, 2019","60.45","64.60","65.43","59.95","120.75M","-12.97%"
"Jan 17, 2019","69.46","69.24","70.30","68.83","18.38M","0.36%"
"Jan 16, 2019","69.21","68.96","70.40","68.70","23.46M","0.47%"
"Jan 15, 2019","68.89","67.00","69.76","66.90","30.28M","3.00%"
"Jan 14, 2019","66.88","68.48","68.50","66.80","26.24M","-3.70%"
"Jan 11, 2019","69.45","68.42","69.68","67.75","25.20M","0.66%"
"Jan 10, 2019","68.99","66.88","69.08","66.36","30.28M","1.90%"
